Name,a.k.a,redshift,RA,DEC,RA_deg,DEC_deg,Type spectrum,Type LC,SN peak magnitude,filter (SN),filter (host),Host magnitude,Host magnitude+,Host magnitude-,Stellar mass,Stellar mass+,Stellar mass-,SFR (SED),SFR (SED)+,SFR (SED)-,SFR (Ha),SFR (Ha)+,SFR (Ha)-,sSFR (SED),sSFR (SED)+,sSFR (SED)-,sSFR (Ha),sSFR (Ha)+,sSFR (Ha)-,12+log(O/H) (PP04 N2),12+log(O/H) (PP04 N2)+,12+log(O/H) (PP04 N2)-,12+log(O/H) (KK04 R23),12+log(O/H) (KK04 R23)+,12+log(O/H) (KK04 R23)-,12+log(O/H) Te,12+log(O/H) Te+,12+log(O/H) Te-
PTF11hrq,,0.057,00:51:47.22,-26:25:10.0,12.9467,-26.4194,I?,fast?,,,,,,,8.55,0.28,0.21,0.209,0.065,0.108,,,,0.59,,,,,,8.16,0.01,0.02,,,,,,
PTF10hgi,SN2010md,0.098,16:37:47.04,+06:12:32.3,249.446,6.20897,I,fast,,,,,,,7.58,0.29,0.31,0.1,0.17,0.07,,,,2.63,,,,,,8.27,0.05,0.06,,,,,,
SN2010kd,,0.101,12:08:00.89,+49:13:32.88,182.004,49.2258,I,,,,,,,,7.36,0.24,0.29,0.09,0.15,0.05,,,,3.93,,,,,,,,,,,,,,
Gaia16apd,SN2016eay,0.1013,12:02:51.70,+44:15:27.3,180.715,44.2576,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF12dam,,0.107,14:24:46.20,+46:13:48.3,216.192,46.2301,I,slow,,,,,,,8.89,0.15,0.3,1,0.87,0.45,,,,1.29,,,,,,8.1,0.02,0.02,,,,,,
SN2015bn,"PS15ae, CSS141223-113342+004332, MLS150211-113342 +004333",0.1136,11:33:41.57,+00:43:32.2,173.423,0.725611,I,slow,,,,,,,7.5,0.38,0.35,0.09,0.34,0.06,,,,2.85,,,,,,,,,,,,,,
PTF10nmn,,0.1237,15:50:02.809,-07:24:42.38,237.512,-7.41177,I?,slow?,,,,,,,8.79,0.11,0.15,0.229,0.074,0.074,,,,0.37,,,,,,,,,,,,,,
SN1999as,,0.127,09:16:30.79,+13:39:06.1,139.128,13.6517,,,,,,,,,8.94,0.2,0.17,1.39,1.89,0.77,,,,1.6,,,,,,,,,,,,,,
SN2007bi,,0.1279,13:19:20.14,+08:55:43.7,199.834,8.92881,I,slow,,,,,,,7.92,0.2,0.21,0.02,0.05,0.01,,,,0.24,,,,,,,,,,,,,,
SN2011ke,"PS1-11xk, PTF11dij",0.143,13:50:57.77,+26:16:42.8,207.741,26.2786,I,fast,,,,,,,7.5,0.2,0.18,0.15,0.11,0.06,,,,4.74,,,,,,,,,,,,,,
SSS120810:231802-560926,,0.156,23:18:01.82,-56:09:25.7,349.508,-56.1571,,,,,,,,,7.42,0.21,0.17,0.14,0.6,0.07,,,,5.32,,,,,,,,,,,,,,
LSQ14an,,0.163,12:53:47.8,-29:31:27.2,193.449,-29.5242,I,slow,,,MOSAIC-2-R,20.47,0.08,0.08,8.54,0.13,0.17,1.32,1.58,1.51,,,,,,,,,,,,,,,,,,
PTF10bfz,,0.1701,12:54:41.288,+15:24:17.08,193.672,15.4047,I?,fast?,,,,,,,8.65,0.11,0.32,0.269,0.153,0.088,,,,0.6,,,,,,8.04,0.04,0.06,,,,,,
SN2012il,PS1-12fo,0.175,09:46:12.91,+19:50:28.7,146.554,19.8413,I,fast?,,,,,,,8.2,0.18,0.17,0.18,0.12,0.1,,,,1.14,,,,,,,,,,,,,,
PTF09as,SN2009cb,0.1867,12:59:15.864,+27:16:40.58,194.816,27.2779,I?,fast?,,,,,,,8.27,0.92,0.15,1.659,0.513,1.49,,,,,,,,,,8.08,0.03,0.04,,,,,,
OGLE15xl,,0.19,04:20:53.44,-73:36:20.1,65.2227,-73.6056,Ib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2010hy,PTF10vwg,0.1901,18:59:32.881,+19:24:25.74,284.887,19.4071,I?,slow?,,,,,,,8.25,0.18,0.59,<0.067,,,,,,<0.38,,,,,,,,,,,,,,
PTF11rks,SN2011kg,0.1924,01:39:45.51,+29:55:27.0,24.9396,29.9242,I,fast,,,,,,,8.96,0.12,0.14,0.35,0.49,0.22,,,,0.38,,,,,,8.14,0.13,0.18,,,,,,
AT2016ard,"PS16aqv, CSS160216-141045-100935",0.2,14:10:44.56,-10:09:35.4,212.686,-10.1598,I?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF10aagc,,0.206,09:39:56.923,+21:43:17.09,144.987,21.7214,I?,fast?,,,,,,,8.98,0.13,0.21,1.566,1.049,0.646,,,,1.64,,,,,,8.18,0.04,0.05,,,,,,
OGLE15xx,,0.21,05:35:40.35,-66:20:48.5,83.9181,-66.3468,I,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016els,,0.217,20:30:13.92,-10:57:01.8,307.558,-10.9505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DES15S2nr,,0.22,02:40:44.62,-00:53:26.4,40.1859,-0.890667,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF15esb,,0.224,07:58:50.67,+66:07:39.1,119.711,66.1275,I-late time Ha,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2010gx,,0.23,11:25:46.71,-08:49:41.4,171.445,-8.82817,I,fast,,,,,,,7.97,0.14,0.13,0.12,0.06,0.06,,,,1.29,,,,,,,,,,,,,,
SN2011kf,CSS111230:143658+163057,0.245,14:36:57.53,+16:30:56.6,219.24,16.5157,I,fast,,,,,,,7.58,0.19,0.22,0.14,0.07,0.05,,,,3.68,,,,,,,,,,,,,,
iPTF16bad,,0.2467,17:16:39.73,+28:22:12.6,259.166,28.3702,I-late time Ha,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSQ12dlf,,0.25,01:50:29.78,-21:48:45.4,27.6241,-21.8126,,,,,IMACS-i',24.73,0.32,0.32,7.56,0.33,0.34,0.04,0.11,0.03,,,,1.1,,,,,,,,,,,,,,
LSQ14mo,,0.253,10:22:41.5,-16:55:14.4,155.673,-16.9207,I,fast,,,,,,,7.98,0.23,0.23,0.28,1.28,0.2,,,,2.93,,,,,,,,,,,,,,
PTF09cnd,,0.258,16:12:08.94,+51:29:16.1,243.037,51.4878,I,slow,,,,,,,7.87,0.2,0.21,0.23,0.14,0.08,,,,3.1,,,,,,8.22,0.09,0.15,,,,,,
SN2013dg,,0.265,13:18:41.35,-07:04:42.9,199.672,-7.07858,,,,,,,,,7.09,0.82,0.7,0.04,0.2,0.03,,,,3.25,,,,,,,,,,,,,,
PSN J000123+000504,,0.281,00:01:23.36,+00:05:04.02,0.347333,0.08445,no spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2005ap,,0.2832,13:01:14.83,+27:43:32.3,195.312,27.7256,,,,,,,,,7.87,0.13,0.19,0.18,0.54,0.08,,,,2.43,,,,,,,,,,,,,,
CSS121015:004244+132827,,0.2868,00:42:44.34,+13:28:26.5,10.6847,13.474,II-transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF10uhf,,0.2882,16:52:46.696,+47:36:21.76,253.195,47.606,I?,fast?,,,,,,,11.23,0.12,0.15,6.837,2.227,3.103,,,,0.04,,,,,,8.67,0.01,0.01,,,,,,
MLS 121104:J021643+204009,,0.303,02:16:42.51,+20:40:08.47,34.1771,20.669,noisy spectrum,,,,,,,,9.27,0.25,0.24,5.13,7.36,3.72,,,,2.75,,,,,,,,,,,,,,
PS17bek,,0.31,10:47:41.90,+26:50:06.0,161.925,26.835,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF12mxx,,0.3296,22:30:16.728,+27:58:22.01,337.57,27.9728,I?,fast?,,,,,,,8.16,0.61,0.24,0.797,0.428,0.393,,,,5.51,,,,,,8.19,0.13,0.19,,,,,,
iPTF13ehe,,0.3434,06:53:21.50,+67:07:56.0,103.34,67.1322,I-late time Ha,slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSQ14bdq,,0.345,10:01:41.60,-12:22:13.4,150.423,-12.3704,,,,,,,,,8.85,0.23,0.25,0.25,8.67,0.23,,,,0.35,,,,,,,,,,,,,,
SN2009jh,PTF09cwl,0.349,14:49:10.08,+29:25:11.4,222.292,29.4198,,,,,,,,,7.15,0.36,0.3,0.06,0.1,0.04,,,,4.25,,,,,,,,,,,,,,
PTF10bjp,,0.3584,10:06:34.30,+67:59:19.0,151.643,67.9886,I?,fast?,,,,,,,9.21,0.15,0.17,0.401,0.135,0.12,,,,0.25,,,,,,8.14,0.06,0.1,,,,,,
DES15C3hav,,0.39,03:31:52.17,-28:15:09.5,52.9674,-28.2526,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2006oz,,0.396,22:08:53.56,+00:53:50.4,332.223,0.897333,I,slow,,,,,,,8.27,0.14,0.12,0.13,0.17,0.08,,,,0.7,,,,,,,,,,,,,,
OGLE16dmu,,0.426,04:48:26.34,-62:20:10.6,72.1097,-62.3363,I,slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13dcc,,0.431,02:57:02.50,-00:18:44.0,44.2604,-0.312222,I,slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF10vqv,,0.452,03:03:06.84,-01:32:34.9,45.7785,-1.54303,,,,,,,,,7.63,0.26,0.21,1.33,1.54,0.5,,,,31.18,,,,,,8.28,0.04,0.05,,,,,,
SN2016aj,,0.485,12:59:00.83,-26:07:40.5,194.753,-26.1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF09atu,,0.501,16:30:24.55,+23:38:25.0,247.602,23.6403,,,,,,,,,7.26,0.32,0.36,0.07,0.11,0.03,,,,3.85,,,,,,,,,,,,,,
PS1-14bj,,0.5215,10:02:08.433,+03:39:19.02,150.535,3.65528,I,super slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS1-12bqf,,0.522,02:24:54.62,-04:50:22.72,36.2276,-4.83964,,,,,,,,,9.71,0.04,0.04,1.99,0.94,0.71,,,,0.39,,,,,,,,,,,,,,
PS1-11ap,,0.524,10:48:27.72,+57:09:09.2,162.115,57.1526,,,,,,,,,8.7,0.13,0.13,0.64,0.35,0.23,,,,1.28,,,,,,,,,,,,,,
OGLE15sd,,0.56,01:42:21.46,-71:47:15.6,25.5894,-71.7877,I,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DES15S1nog,,0.565,02:52:14.98,-00:44:36.3,43.0624,-0.743417,I?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DES16C3dmp,,0.5652,03:31:28.35,-28:32:28.3,52.8681,-28.5412,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE15qz,,0.591,03:08:35.88,-70:30:41.6,47.1495,-70.5116,I,slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DES14X3taz,,0.608,02:28:04.46,-04:05:12.7,37.0186,-4.08686,I,slow,,,DeCam-r',25.07,0.13,0.13,8.04,0.19,0.19,0.23,0.45,0.1,,,,2.1,,,,,,,,,,,,,,
PS1-10bzj,,0.65,03:31:39.826,-27:47:42.17,52.9159,-27.795,,,,,,,,,8.76,0.61,0.35,0.61,0.3,0.44,,,,1.06,,,,,,,,,,,,,,
SN2013hy,DES13S2cmm,0.663,02:42:32.82,-01:21:30.1,40.6367,-1.35836,I,slow,,,,,,,8.85,0.21,0.19,1.57,5.91,0.79,,,,2.22,,,,,,,,,,,,,,
PS1-12zn,,0.674,09:59:49.615,+02:51:31.85,149.957,2.85885,,,,,,,,,8.5,0.11,0.12,2.72,0.92,0.72,,,,8.6,,,,,,,,,,,,,,
PS1-11bdn,,0.738,02:25:46.292,-05:06:56.57,36.4429,-5.11571,,,,,,,,,8.06,0.25,0.26,4.93,4.59,2.38,,,,42.94,,,,,,,,,,,,,,
iPTF13ajg,,0.7403,16:39:03.95,+37:01:38.4,249.766,37.0273,I,slow,,,LRIS-g',26.8,0.2,0.2,7.66,1.36,0.79,0.2,1.92,0.11,,,,4.38,,,,,,,,,,,,,,
DES15X3hm,,0.86,02:26:54.96,-05:03:38.0,36.729,-5.06056,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DES14X2byo,,0.869,02:23:46.93,-06:08:12.3,35.9455,-6.13675,I,,,,MegaPrime-r,27.18,1.24,1.24,7.3,1.13,0.78,0.09,0.51,0.05,,,,4.51,,,,,,,,,,,,,,
PS1-13gt,,0.884,12:18:02.035,+47:34:45.95,184.508,47.5794,,,,,,,,,8.14,1.18,0.72,0.65,3.89,0.36,,,,4.71,,,,,,,,,,,,,,
PS1-10awh,,0.908,22:14:29.831,-00:04:03.62,333.624,-0.0676722,I,slow,,,,,,,9.45,0.56,0.56,2.9,16.05,2.84,,,,1.03,,,,,,,,,,,,,,
PS1-10ky,,0.956,22:13:37.851,+01:14:23.57,333.408,1.23988,I,fast,,,,,,,7.27,1.07,0.61,0.12,0.43,0.07,,,,6.44,,,,,,,,,,,,,,
PS1-11aib,,0.997,22:18:12.217,+01:33:32.01,334.551,1.55889,,,,,,,,,9.5,0.52,0.52,4.51,37.64,4.41,,,,1.43,,,,,,,,,,,,,,
PS1-10ahf,,1.1,23:32:28.3,-00:21:43.6,353.118,-0.362111,I,slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DES15X1noe,,1.188,02:14:41.93,-04:52:54.5,33.6747,-4.88181,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCP-06F6,,1.189,14:32:27.395,+33:32:24.83,218.114,33.5402,,,,,,,,,7.51,1.21,0.72,0.17,0.69,0.09,,,,5.25,,,,,,,,,,,,,,
PS1-10pm,,1.206,12:12:42.200,+46:59:29.48,183.176,46.9915,I,fast,,,,,,,8.85,0.23,0.69,1.72,5.41,0.79,,,,2.43,,,,,,,,,,,,,,
PS1-11tt,,1.283,16:12:45.778,+54:04:16.96,243.191,54.0714,,,,,,,,,7.71,0.22,0.25,1.23,1.15,0.39,,,,23.98,,,,,,,,,,,,,,
DES14C1fi,,1.3,03:33:49.80,-27:03:31.6,53.4575,-27.0588,II?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS1-10afx,,1.388,22:11:24.162,+00:09:43.49,332.851,0.162081,I?/Ia,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS1-11afv,,1.407,12:15:37.770,+48:10:48.62,183.907,48.1802,,,,,,,,,8.76,0.19,0.19,2.09,4.47,0.82,,,,3.63,,,,,,,,,,,,,,
DES14S2qri,,1.5,02:43:32.14,-01:07:34.2,40.8839,-1.12617,?,,,,SDSS-i',22.44,1.21,1.21,9.45,1.75,1.21,6.21,345.15,4.3,,,,2.20,,,,,,,,,,,,,,
SNLS 07D2bv,,1.5,10:00:06.62,+02:38:35.8,150.028,2.64328,,,,,,,,,8.39,0.62,0.6,0.57,0.72,0.21,,,,2.32,,,,,,,,,,,,,,
PS1-11bam,,1.565,08:41:14.192,+44:01:56.95,130.309,44.0325,,,,,,,,,9.04,0.37,0.37,10.24,9.56,3.5,,,,9.34,,,,,,,,,,,,,,
PS1-12bmy,,1.572,03:34:13.123,-26:31:17.21,53.5547,-26.5214,,,,,,,,,9.53,0.31,0.26,2.19,3.85,1.17,,,,0.65,,,,,,,,,,,,,,
SNLS 06D4eu,,1.588,22:15:54.291,-18:10:45.56,333.976,-18.1793,,,,,,,,,8.92,0.41,0.11,104.46,38.51,45.77,,,,125.59,,,,,,,,,,,,,,
DES15E2mlf,,1.86,00:41:33.40,-43:27:17.2,10.3892,-43.4548,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DES16C2nm,,1.998,03:40:14.83,-29:05:53.5,55.0618,-29.0982,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2213-1745,,2.0458,22:13:39.970,-17:45:24.486,333.417,-17.7568,I,,,,,,,,10.23,0.36,0.26,16.98,1.67,2.4,,,,1.0,,,,,,,,,,,,,,
SN1000+0216,,3.8993,10:00:05.862,+02:16:23.621,150.024,2.27323,I?,,,,,,,,9.93,0.12,0.13,281.84,1.23,1.23,,,,33.11,,,,,,,,,,,,,,
